iter	MultiCrossEntropy	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	F1:class=5	F1:class=6	F1:class=7	F1:class=8	F1:class=9	F1:class=10	F1:class=11	F1:class=12	F1:class=13	F1:class=14	F1:class=15
16	0.3395245028	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495
17	0.3326671263	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495	0.824856495
18	0.3265600032	0.8248610191	0.8248610191	0.8248610191	0.8248610191	0.8248610191	0.8248610191	0.8248610191	0.8248610191	0.8248610191	0.8248610191	0.8248610191	0.8248610191	0.8248610191	0.8248610191	0.8248610191	0.8248610191
19	0.321111392	0.8248610191	0.8248610191	0.8248610191	0.8248610191	0.8248610191	0.8248610191	0.8248610191	0.8248610191	0.8248610191	0.8248610191	0.8248610191	0.8248610191	0.8248610191	0.8248610191	0.8248610191	0.8248610191
20	0.3095224996	0.825592931	0.825592931	0.825592931	0.825592931	0.825592931	0.825592931	0.825592931	0.825592931	0.825592931	0.825592931	0.825592931	0.825592931	0.825592931	0.825592931	0.825592931	0.825592931
21	0.2996730982	0.8265185404	0.8265185404	0.8265185404	0.8265185404	0.8265185404	0.8265185404	0.8265185404	0.8265185404	0.8265185404	0.8265185404	0.8265185404	0.8265185404	0.8265185404	0.8265185404	0.8265185404	0.8265185404
22	0.2910630758	0.8265207904	0.8265207904	0.8265207904	0.8265207904	0.8265207904	0.8265207904	0.8265207904	0.8265207904	0.8265207904	0.8265207904	0.8265207904	0.8265207904	0.8265207904	0.8265207904	0.8265207904	0.8265207904
23	0.2830831157	0.8265207904	0.8265207904	0.8265207904	0.8265207904	0.8265207904	0.8265207904	0.8265207904	0.8265207904	0.8265207904	0.8265207904	0.8265207904	0.8265207904	0.8265207904	0.8265207904	0.8265207904	0.8265207904
24	0.2760794095	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169
25	0.2699176125	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169	0.8262335169
