iter	Passed	Remaining
682	339837	157728
683	340310	157219
684	340786	156712
685	341234	156191
686	341704	155681
687	342179	155174
688	342660	154669
689	343134	154161
690	343633	153665
691	344125	153165
692	344603	152659
693	345112	152167
694	345581	151658
695	346043	151145
696	346551	150653
697	347044	150153
698	347536	149654
699	348020	149151
700	348473	148635
701	349009	148154
702	349469	147641
703	349923	147127
704	350390	146617
705	350809	146087
706	351298	145587
707	351787	145087
708	352249	144576
709	352784	144095
710	353289	143601
711	353826	143120
712	354292	142611
713	354818	142126
714	355260	141607
715	355740	141103
716	356261	140616
717	356727	140107
718	357178	139592
719	357646	139084
720	358186	138604
721	358686	138109
722	359137	137594
723	359615	137090
724	360029	136562
725	360515	136062
726	360851	135505
727	361354	135011
728	361827	134506
729	362299	134001
730	362777	133498
731	363233	132987
732	363654	132463
733	364099	131948
734	364603	131455
735	365072	130949
736	365540	130444
737	366000	129935
738	366462	129427
739	366939	128924
740	367417	128422
741	367899	127922
742	368364	127415
743	368906	126935
744	369465	126461
745	370008	125981
746	370529	125493
747	371054	125007
748	371589	124524
749	372171	124057
750	372790	123601
751	373378	123135
752	373964	122668
753	374542	122198
754	375096	121720
755	375665	121246
756	376249	120777
757	376799	120297
758	377328	119810
759	377888	119333
760	378463	118860
761	378977	118368
762	379526	117887
763	380108	117415
764	380699	116946
765	381299	116480
766	381913	116017
767	382488	115543
768	383068	115070
769	383647	114595
770	384216	114118
771	384787	113641
772	385374	113169
773	385977	112701
774	386554	112225
775	387116	111744
776	387650	111256
777	388221	110777
778	388797	110300
779	389371	109822
780	389962	109349
781	390535	108870
782	391114	108393
783	391710	107920
784	392274	107438
785	392791	106943
786	393287	106442
787	393666	105910
788	394071	105385
789	394498	104866
790	394965	104358
791	395443	103853
792	395859	103332
793	396276	102812
794	396735	102302
795	397166	101786
796	397612	101273
797	398031	100754
798	398518	100253
799	398975	99743
800	399393	99225
801	399849	98715
802	400263	98196
803	400698	97682
804	401103	97161
805	401510	96641
806	401947	96128
807	402372	95613
808	402860	95112
809	403282	94597
810	403696	94079
811	404148	93571
812	404596	93062
813	405031	92550
814	405457	92036
815	405951	91538
816	406425	91035
817	406914	90535
818	407416	90039
819	407933	89546
820	408376	89036
821	408848	88534
822	409282	88023
823	409712	87511
824	410150	87001
825	410591	86492
826	410974	85971
827	411413	85462
828	411914	84966
829	412360	84459
830	412788	83948
831	413244	83443
832	413692	82937
833	414110	82424
834	414554	81917
835	415034	81418
836	415539	80923
837	415990	80418
838	416410	79907
839	416849	79399
840	417279	78891
841	417752	78390
842	418180	77881
843	418665	77383
844	419111	76878
845	419532	76368
846	419992	75866
847	420430	75360
848	420940	74866
849	421390	74363
850	421808	73853
851	422254	73349
852	422671	72840
853	423156	72342
854	423658	71848
855	424137	71350
856	424578	70845
857	425002	70338
858	425417	69829
859	425837	69322
860	426253	68814
861	426680	68308
862	427185	67815
863	427682	67320
864	428110	66814
865	428546	66310
866	428956	65803
867	429395	65299
868	429867	64801
869	430338	64303
870	430760	63798
871	431206	63296
872	431634	62792
873	432123	62297
874	432539	61791
875	432986	61290
876	433411	60786
877	433840	60283
878	434279	59781
879	434721	59280
880	435192	58783
881	435671	58287
882	436147	57790
883	436637	57296
884	437075	56795
885	437487	56290
886	437908	55787
887	438332	55285
888	438772	54784
889	439177	54280
890	439612	53779
891	440007	53274
892	440425	52772
893	440827	52268
894	441276	51769
895	441723	51271
896	442139	50769
897	442621	50275
898	443109	49782
899	443622	49291
900	444070	48793
901	444577	48302
902	444963	47797
903	445420	47301
904	445834	46800
905	446286	46303
906	446767	45809
907	447209	45311
908	447708	44820
909	448161	44323
910	448671	43832
911	449121	43336
912	449599	42842
913	450029	42344
914	450546	41854
915	450943	41352
916	451488	40865
917	452087	40382
918	452667	39897
919	453227	39411
920	453856	38930
921	454622	38460
922	455205	37974
923	455739	37485
924	456284	36996
925	456812	36505
926	457305	36012
927	457834	35521
928	458461	35038
929	458944	34544
930	459417	34049
931	459905	33555
932	460357	33058
933	460846	32565
934	461320	32070
935	461786	31575
936	462286	31082
937	462785	30589
938	463320	30098
939	463847	29607
940	464475	29122
941	465055	28633
942	465647	28146
943	466252	27659
944	466813	27169
945	467298	26674
946	467792	26180
947	468286	25686
948	468808	25194
949	469350	24702
950	469853	24209
951	470389	23717
952	470865	23222
953	471347	22727
954	471813	22232
955	472309	21738
